24VIN1:1
AS5600:1
C1:1
C2:1
C3:1
C7:1
C8:1
CBOOT2:1
G***:3
J1:1
J2:1
L1:1
MOTOR1:1
R10:1
R2:1
R5:1
R7:1
R8:1
R9:1
SN65HVD230:1
SWITCH/SENSOR:1
TMC2208_IO1:1
TMC2208_PWR1:1
U1:1
